Time (s),Velocity - X (cm/s),Velocity - Y (cm/s),Velocity - Total (cm/s)
0.00,-0.10,6.30,6.30
0.15,-1.40,39.80,39.82
0.30,-1.20,20.00,20.04
0.45,-2.30,42.40,42.46
0.60,-0.40,47.00,47.00
0.75,1.70,54.40,54.43
0.90,0.80,60.10,60.11
1.05,0.60,56.90,56.90
1.20,-0.80,57.90,57.91
1.35,-0.80,44.40,44.41
1.50,1.00,15.50,15.53
1.65,22.90,21.90,31.69
1.80,7.50,3.10,8.12
1.95,0.50,-23.60,23.61
2.10,-5.50,-28.90,29.42
2.25,-4.40,-38.40,38.65
2.40,-0.50,-40.10,40.10
2.55,0.80,-52.80,52.81
2.70,0.90,-54.60,54.61
2.85,-1.20,-50.00,50.01
3.00,11.90,-72.90,73.86
3.15,23.90,-48.30,53.89
3.30,37.80,-23.90,44.72
3.45,37.70,-3.30,37.84
3.60,49.80,9.20,50.64
3.75,60.10,7.10,60.52
3.90,48.40,-3.50,48.53
4.05,67.10,-5.20,67.30
4.20,65.00,-1.00,65.01
4.35,62.10,3.80,62.22
4.50,39.80,1.20,39.82
4.65,14.20,21.20,25.52
4.80,-15.60,-4.20,16.16
4.95,-33.00,9.40,34.31
5.10,-22.90,6.60,23.83
5.25,-28.00,18.20,33.40
5.40,-31.70,17.10,36.02
5.55,-38.80,1.80,38.84
5.70,-57.10,-12.40,58.43
5.85,-37.60,-8.50,38.55
6.00,-19.10,0.40,19.10
6.15,-47.60,-6.30,48.02
6.30,-28.40,-9.30,29.88
6.45,7.00,-30.80,31.59
6.60,11.60,-52.50,53.77
6.75,6.90,-43.90,44.44
6.90,-3.40,-55.80,55.90
7.05,-7.20,-65.30,65.70
7.20,-2.00,-59.60,59.63
7.35,1.40,-67.40,67.41
7.50,1.50,-14.10,14.18
7.65,-16.20,-34.20,37.84
7.80,-7.00,-1.90,7.25
7.95,-0.10,9.20,9.20
8.10,7.30,42.10,42.73
8.25,8.10,37.60,38.46
8.40,1.10,46.70,46.71
8.55,-2.80,56.90,56.97
8.70,-1.00,68.90,68.91
8.85,2.40,61.80,61.85
9.00,1.30,32.00,32.03
9.15,-16.40,56.90,59.22
9.30,-27.20,35.90,45.04
9.45,-43.70,6.60,44.20
9.60,-45.00,-9.10,45.91
9.75,-51.00,-7.60,51.56
9.90,-59.50,3.00,59.58
10.05,-58.10,10.30,59.01
10.20,-52.40,2.60,52.46
10.35,-65.60,-1.30,65.61
10.50,-41.90,-1.50,41.93
10.65,-6.30,2.80,6.89
10.80,-12.60,1.30,12.67
10.95,-23.30,-1.40,23.34
11.10,29.20,-0.30,29.20
11.25,40.90,-1.60,40.93
11.40,44.40,-2.80,44.49
11.55,42.60,0.00,42.60
11.70,51.60,-1.20,51.61
11.86,52.40,-0.60,52.40
12.00,63.20,-2.80,63.26
12.15,4.00,2.60,4.77
12.30,30.80,0.60,30.81
12.45,34.20,-0.60,34.21
12.60,12.50,-1.40,12.58
12.75,11.10,-1.30,11.18
12.90,2.30,1.60,2.80
13.05,-0.90,3.00,3.13
13.20,-1.30,0.50,1.39
13.35,1.40,-3.10,3.40
13.50,1.20,-2.80,3.05
13.65,0.10,0.80,0.81
13.80,-1.00,3.20,3.35
13.95,0.10,1.70,1.70
14.10,2.00,-2.10,2.90
14.25,0.60,-2.70,2.77
14.40,-1.30,0.20,1.32
14.55,-1.20,2.80,3.05
14.70,1.40,1.70,2.20
14.85,1.70,-1.30,2.14
15.00,0.50,-2.60,2.65
15.15,-1.70,-0.60,1.80
15.30,-1.40,1.70,2.20
15.45,0.90,2.10,2.28
15.60,2.70,0.00,2.70
15.75,1.30,-1.90,2.30
15.90,-2.10,-0.80,2.25
16.05,-2.40,0.20,2.41
16.20,0.50,1.10,1.21
16.35,3.10,0.00,3.10
16.50,1.40,-0.10,1.40
16.65,-1.70,-0.70,1.84
16.80,-2.20,0.50,2.26
16.95,-0.50,-0.30,0.58
17.10,0.90,-0.10,0.91
17.25,0.90,0.80,1.20
17.40,-0.80,0.60,1.00
17.55,-0.30,0.00,0.30
17.70,0.60,-0.10,0.61
17.85,0.60,-0.90,1.08
18.00,-0.60,-0.20,0.63
18.15,-0.20,0.00,0.20
18.30,0.10,0.00,0.10
18.45,0.60,0.20,0.63
18.60,0.00,0.80,0.80
18.75,-0.40,-0.10,0.41
18.90,2.00,0.10,2.00
19.05,0.00,-0.50,0.50
19.20,0.00,-0.60,0.60
19.35,-0.40,0.10,0.41
19.50,-0.20,-0.30,0.36
19.65,-0.60,0.20,0.63
19.80,0.50,0.00,0.50
19.95,0.00,-0.20,0.20
20.10,-0.30,0.50,0.58
20.25,0.00,-0.10,0.10
20.40,0.40,-0.20,0.45
20.55,-0.30,0.20,0.36
20.70,0.00,-0.10,0.10
20.85,0.30,0.30,0.42
21.00,-0.30,-0.20,0.36
21.15,0.00,0.20,0.20
21.30,0.10,-0.20,0.22
21.45,-0.20,0.30,0.36
21.60,0.10,-0.20,0.22
21.75,0.00,0.10,0.10
21.90,0.00,-0.10,0.10
22.05,0.20,0.00,0.20
22.20,-0.20,0.00,0.20
22.35,0.20,0.00,0.20
22.50,-0.10,0.10,0.14
22.65,0.10,-0.10,0.14
22.80,-0.10,0.00,0.10
22.95,0.10,0.00,0.10
23.10,0.00,0.00,0.00
23.25,0.00,0.00,0.00
23.40,0.00,0.00,0.00
23.55,0.00,0.00,0.00
23.70,0.00,0.00,0.00
23.85,0.00,0.00,0.00
24.00,0.00,0.00,0.00
24.16,0.00,0.00,0.00
24.31,0.00,0.00,0.00
24.46,0.00,0.00,0.00
24.61,1.80,0.00,1.80
24.76,-0.30,0.00,0.30
24.91,0.20,0.00,0.20
25.06,-0.10,0.20,0.22
25.21,0.10,-0.10,0.14
25.36,0.00,-0.10,0.10
25.51,0.00,0.10,0.10
25.66,0.10,0.00,0.10
25.81,-0.10,0.00,0.10
25.96,0.00,0.00,0.00
26.11,0.00,0.00,0.00
26.26,-0.10,0.00,0.10
26.41,0.00,0.00,0.00
26.56,0.00,0.00,0.00
26.71,0.00,0.00,0.00
26.86,0.00,0.00,0.00
27.01,0.00,0.00,0.00
27.16,0.00,0.00,0.00
27.31,0.00,0.00,0.00
27.46,0.00,0.00,0.00
27.61,0.00,0.00,0.00
27.76,0.00,0.00,0.00
27.91,0.00,0.00,0.00
28.06,0.00,0.00,0.00
28.21,0.00,0.00,0.00
28.36,0.00,0.00,0.00
28.51,0.00,0.00,0.00
28.66,0.00,0.00,0.00
28.81,0.00,0.00,0.00
28.96,0.00,0.00,0.00
29.11,0.00,0.00,0.00
29.26,0.00,0.00,0.00
29.41,0.00,0.00,0.00
29.56,0.00,0.00,0.00
29.71,0.00,0.00,0.00
29.86,0.00,0.00,0.00
30.02,0.00,0.00,0.00